,doi,note,title
90,['10.1016/j.tox.2013.02.016'],[],Testing for departures from additivity in mixtures of perfluoroalkyl acids PFAAs
91,['10.1016/j.neuro.2012.10.013'],[],USE OF HIGH CONTENT IMAGE ANALYSES TO DETECT CHEMICAL-MEDIATED EFFECTS ON NEURITE SUB-POPULATIONS IN PRIMARY RAT CORTICAL NEURONS
92,['10.1155/2013/978541'],[],"Nanomaterials Synthesis, Applications, and Toxicity 2012"
93,['10.1039/c4gc00558a'],[],Magnetically recyclable magnetite-palladium Nanocat-Fe-Pd nanocatalyst for the Buchwald-Hartwig reaction
94,['10.2174/13852728113179990041'],[],Supported Ruthenium Catalysts for Sustainable Flow Chemistry
95,['10.1289/ehp.1408504'],[],Developmental Exposure to A Commercial PBDE Mixture: Effects on Protein Networks in the Cerebellum and Hippocampus of Rats
96,"['10.1039/b603997a', '10.1039/c2gc16341a', '10.1108/14676370910945936', '10.1021/ed400393b', '10.1021/ed200666v', '10.1039/c5gc02277k', '10.1021/ed200649h', '10.1007/s11743-009-1119-5', '10.1351/PAC-CON-13-02-05', '10.1007/128_060', '10.1016/j.chemosphere.2014.03.119', '10.1146/annurev-environ-032009-095500', '10.1089/ind.2011.1003', '10.1002/9780470988305.ch2', '10.1039/b604483m', '10.1146/annurev.matsci.35.102003.140852', '10.1021/ed200759r']",['Multiple results'],Greener and Sustainable Chemistry
97,['10.1002/jbt.21798'],[],Differential genomic effects of six different TiO2 nanomaterials on human liver HepG2 cells
98,[],['No results'],Enantiomer specific measurements of current-use pesticides in aquatic systems
99,['10.1016/j.neuroscience.2012.11.022'],[],Developmental thyroid hormone insufficiency and brain development: A role for brain-derived neurotrophic factor BDNF*
100,[],['No results'],Microwave Technology-Chemical Synthesis Applications
101,['10.1890/12-1166.1'],[],Hidden Markov models for estimating animal mortality from anthropogenic hazards
102,['10.1021/acs.est.5b03379'],[],Identification of Unsaturated and 2H Polyfluorocarboxylate Homologous Series and Their Detection in Environmental Samples and as Polymer Degradation Products
103,[],['No results'],Cross-species analysis of thyroperoxidase inhibition by xenobiotics demonstrates conservation of res ponse between pig and rat
104,['10.1124/dmd.115.068957'],[],Age-Dependent Human Hepatic Carboxylesterase 1 CES1 and Carboxylesterase 2 CES2 Postnatal Ontogeny
105,[],['No results'],"Beet juice utilization: Expeditious green synthesis of nobel metal nanoparticles Ag, Au, Pt, and Pd using microwaves"
106,[],['No results'],VERUCLAY – a new type of photo-adsorbent active in the visible light range: modification of montmorillonite surface with organic surfactant
107,['10.1016/j.reprotox.2012.12.001'],[],The effect of triclosan on the uterotrophic response to extended doses of ethinyl estradiol in the weanling rat
108,['10.1039/c3gc40401c'],[],Copper on Chitosan: recyclable heterogeneous catalyst for azide-alkyne cycloaddition reactions
109,['10.1016/j.jhydrol.2014.09.053'],[],Laboratory Assessment of the Mobility of Water-Dispersed Engineered Nanoparticles in a Red Soil Ultisol
110,[],['No results'],Development of a Multianalyte Enzyme-Linked Immunosorbent Assay for Permethrin and Aroclors and Its Implementation for Analysis of Soil/Sediment and House Dust ExtractsExtracts
111,['10.1021/ci400267h'],[],Prediction of aquatic toxicity mode of action using linear discriminant and random forest models
112,['10.3109/10408444.2010.529105'],[],"Exposure, Health and Ecological Effects Review of Engineered Nanoscale Cerium and Cerium Oxide Associated with its Use as a Fuel Additive"
113,['10.1021/es301487s'],[],Fate of Zinc Oxide Nanoparticles during Anaerobic Digestion of Wastewater and Post-Treatment Processing of Sewage Sludge
114,['10.1002/wnan.1216'],[],Assessing nanoparticle risk poses prodigious challenges
115,"['10.1021/es405531h', '10.1021/es400483k', '10.1021/es404912p']",['Multiple results'],Colloidal Properties and Stability of Graphene Oxide Nanomaterials in the Aquatic Environment
116,[],['No results'],Short Communication: Phototoxicity of TiO2 nanoparticles to zebrafish Danio reriois dependent on life stage
117,['10.1093/annhyg/met008'],[],The Future of Exposure Assessment: Perspectives from the X2012 Conference
118,[],['No results'],PEROXISOME PROLIFERATOR-ACTIVATED RECEPTORα PPARα AGONISTS DIFFERENTIALLY REGULATE INHIBITOR OF DNA BINDING ID2 EXPRESSION IN RODENTS AND HUMAN CELLS
119,[],['No results'],Fate and transport of elemental copper Cu0 nanoparticles through saturated porous media in the presence of organic materials
120,[],['No results'],"Sensitivity of species to chemicals: dose-response characteristics for various test types coldbloodedLC50, cold-blooded LR50 and warm-blooded LD50 and modes of action"
121,[],['No results'],REPRODUCTIVE TOXICOLOGY Computational Modeling and Simulation of Genital Tubercle Development
122,['10.1002/etc.2403'],[],Investigating Alternatives to the Fish Early Life-Stage Test: A Strategy for Discovering and Annotating Adverse Outcome Pathways for Early Fish Development
123,['10.1093/toxsci/kfs336'],[],Evaluation of iodide deficiency in the lactating rat and pup using a biologically based dose-response model
124,"['10.1002/etc.2249', '10.1080/10629369408028842']",['Multiple results'],Predicting modes of toxic action from chemical structure
125,['10.1016/j.watres.2012.12.042'],[],Travel Distance and Transformation of Injected Emulsified Zerovalent Iron Nanoparticles in the Subsurface During Two and Half Years
126,[],['No results'],Field Treatment of MTBE Contaiminated Groundwater Using Ozone/UV Oxidation
127,[],['No results'],News: Good chemical manufacturing process criteria
128,[],['No results'],Life-Stage Physiologically-Based Pharmacokinetic PBPK Model Application to Screen Environmental Hazards Using Adverse Outcome Pathways AOPs and Environmental Exposure Models.
129,[],['No results'],Catalytic Sorption of ChloroBenzene and Napthalene in Aqueous Solutions by Granular Activated Carbon Supported Bimetallic Iron and Palladium Nanoparticles
130,[],['No results'],"Metabolomics in Toxicology and Preclinical Research, a t4 Workshop Report"
131,[],['No results'],"An inter-laboratory study on the variability in measured concentrations of 17Beta-estradiol, testosterone and 11-ketotestosterone in white sucker: implications and recommendations"
132,[],['No results'],Benign by Design: Alternative Catalyst-free Green Chemical Methodologies in Organic Synthesis
133,[],['No results'],Mixed Matrix Silicone and Fluorosilicone/Zeolite 4A Membranes for Ethanol Dehydration by Pervaporation
134,['10.1016/j.scitotenv.2012.12.037'],[],Determination of multi-walled carbon nanotube bioaccumulation in earthworms measured by a microwave-based detection technique
135,[],['No results'],Differences in Silver Nanoparticle and Ag+ Toxicity to Willow and Hybrid Poplar Trees
136,['10.1088/1752-7155/7/3/036001'],[],Post-operative elimination of sevoflurane anesthetic and hexafluoroisopropanol metabolite in exhaled breath: Pharmacokinetic models for assessing liver function
137,['10.1021/nn302280n'],[],"Effect of Treatment Media on the Agglomeration of Titanium Dioxide Nanoparticles: Impact on Genotoxicity, Cellular Interaction, and Cell Cycle"
138,['10.1016/j.atmosenv.2014.02.021'],[],Experimental Method Development for Estimating Solid-phase Diffusion Coefficients and Material-air Partition Coefficients of SVOCs
139,['10.1016/j.reprotox.2015.04.003'],[],The potential of AOP networks for reproductive and  developmental toxicity assay development
140,[],['No results'],Toxicological Science Toxicokinetic Triage for Environmental Chemicals
141,['10.1021/es4016124'],[],Transport and Retention of Colloids in Porous Media: Does Shape Really Matter
142,['10.1021/es4034638'],[],Evaluating the Environmental Impacts of a Nano-Enhanced Field Emission Display Using Life Cycle Assessment: A Screening-Level Study
143,[],['No results'],Magnetically retrievable quasi homogeneous phase for catalysis
144,"['10.1016/j.tetlet.2014.04.104', '10.1007/s00339-013-8165-6', '10.2174/13852728113179990042']",['Multiple results'],Microwave-assisted Chemical Transformations
145,[],['No results'],Sparking Connections: Toward Better Linkages Between Research and Human Health Policy — An Example with Multiwalled Carbon Nanotubes
146,['10.1002/etc.2123'],[],Potential for metal contamination by direct sonication of nanoparticle suspensions
147,['10.3109/10408444.2012.756455'],[],The Use of Biomonitoring Data in Exposure and Human Health Risk Assessment:  BENZENE CASE STUDY.
148,['10.1039/c2gc36455g'],[],Organic synthesis via magnetic attraction: benign and sustainable protocols using magnetic nanoferrites
149,['10.1002/wnan.1202'],[],Metal-based nanoparticle interactions with the nervous system: The challenge of brain entry and the risk of retention in the organism
150,[],[],Quantifying the effects of pesticide exposure on annual reproductive success of birds
151,[],['No results'],In vitro assessment of neuronal growth and morphology using high content imaging is influenced by media formulation.
152,['10.1088/1752-7155/7/1/017107'],[],Clinical breath analysis: Discriminating between human endogenous compounds and exogenous environmental chemical confounders
153,[],['No results'],A framework for cross-species extrapolation of chemical effects: Application to signaling pathways controlled by estrogen receptor-á
154,['10.1007/s11051-013-1484-x'],[],Influence of pH on the Transport of Silver Nanoparticles in Saturated Porous Media: Laboratory Experiments and Modeling
155,['10.1039/c4gc00774c'],[],Magnetic gold nanocatalyst nanocat-Fe–Au: catalytic applications for the oxidative esterification and hydrogen transfer reactions
156,['10.1021/ci300350r'],[],Estimation of Environment-Related Properties of Chemicals for Design of Sustainable Processes: Development of Group-Contribution+ GC+ Property Models and Uncertainty Analysis
157,['10.1371/journal.pone.0070911'],[],A Decision Analytic Approach to Exposure-Based Chemical Prioritization
158,['10.1021/es305229d'],[],Improving Infant Exposure and Health Risk Estimates: Using Serum Data to Predict Polybrominated Diphenyl Ether Concentrations in Breast Milk
159,['10.1007/s11367-013-0659-0'],[],"Guidance for Product Category Rule Development: Process, Outcome and Next Steps"
160,['10.1080/1062936X.2015.1018939'],[],Comparison of Global and Mode of Action-Based Models for Aquatic Toxicity
161,['10.1002/em.21848'],[],Cellular Interactions and Biological Responses to Titanium Dioxide Nanoparticles in HepG2 and BEAS-2B Cells: Role of Cell Culture Media
162,['10.1080/10937404.2013.853607'],[],Critical Consideration of the Multiplicity of Experimental and Organismic Determinants of Pyrethroid Neurotoxicity: A Proof of Concept
163,['10.1016/j.neuro.2013.11.008'],[],Burst and Principal Components Analyses of MEA Data for 16 Chemicals Describe at Least Three Effects Classes.
164,['10.1039/c3ra45606d'],[],Magnetic Silica Supported Copper: A Modular Approach to Aqueous Ullmann-type Amination of Aryl Halides
165,['10.1021/ac402306f'],[],Evolution of environmental exposure science:  Using breath-borne biomarkers for “discovery” of the human exposome
166,['10.1093/toxsci/kft182'],[],Concordance of Transcriptional and Apical Benchmark Dose Levels for Conazole-Induced Liver Effects in Mice
167,[],['No results'],Sustainable utility of magnetically recyclable nano-catalysts in water: Applications in organic synthesis
168,[],['No results'],Detection of Silver Nanoparticles in Cells by Flow Cytometry Using Light Scattering and Far-red Fluorescence
169,[],['No results'],Evaluation of the Association between Persistent Organic Pollutants POPsand Diabetes in Epidemiological Studies: A National Toxicology Program Workshop Review
170,[],['No results'],Sustainability evaluation of chemical processes for L-Dopa Manufacture based on a framework with three metrics
171,['10.1016/j.chemosphere.2014.03.058'],[],Comparison of TiO2 nanoparticle and graphene-TiO2 nanoparticle composite phototoxicity to Daphnia magna and Oryzias latipes
172,[],['No results'],The Physiochemistry of Capped Nanosilver Predicts Its Biological Activity in Rat Brain Endothelial Cells REBEC4
173,[],[],Selecting surrogate endpoints for estimating pesticide effects on avian reproductive success
174,['10.1002/etc.2331'],[],"Effects of low levels of herbicides on prairie species of the Willamette Valley, Oregon"
175,['10.1093/toxsci/kfu025'],[],Comparative Time Course Profiles of Phthalate Stereoisomers in Mice
176,['10.1016/j.coche.2013.09.004'],[],Silver-based Antibacterial Surfaces for Drinking Water Disinfection-An overview
177,[],['No results'],Copper Modified Magnetic Bimetallic Nano-catalysts Ligand Regulated CatalyticActivity
178,[],['No results'],Nano-catalysts with Magnetic Core: Sustainable Options for Greener Synthesis
179,['10.1007/s00216-013-7330-2'],[],Polyfluorinated substances in abiotic standard reference materials
180,['10.1021/tx400021f'],[],Profiling 976 ToxCast chemicals across 331 enzymatic and receptor signaling assays
181,[],['No results'],Metabolomics for in situ environmental monitoring of surface waters impacted by contaminants from both point and non-point sources
182,[],['No results'],Greener routes to organics and nanomaterials: Sustainable applications of nano-catalysts JA
183,['10.3109/10408444.2013.835786'],[],Mode of Action and Human Relevance Analysis for Nuclear Receptor-Mediated Liver Toxicity:  A Case Study with Phenobarbital as a Model Constitutive Androstane Receptor CAR Activator
184,['10.1080/1062936X.2014.898692'],[],Effects-based chemical category approach for prioritization of low affinity estrogenic chemicals
185,['10.1016/j.watres.2013.07.034'],[],Release of Phosphorous Impurity from TiO2 Anatase and Rutile Nanoparticles in Aquatic Environments and Its Implications
186,[],['No results'],Development and Evaluation of a Probabilistic Fugacity-Based Source-to-Concentration Model for Support of Exposure Assessment
187,['10.1039/c3ra47899h'],[],N-Allylation of amines with allyl acetates using chitosan-immobilized palladium
188,[],['No results'],Size Controlled Two-dimensional Co3O4 with Exposure of {111} Plane: Synthesis andCatalytic Properties for Photooxidation of Organics
189,['10.1021/es401961j'],[],Field-Based Approach for Assessing the Impact of Treated Pulp and Paper Mill Effluent on Endogenous Metabolites of Fathead Minnows Pimephales promelas
190,['10.1002/etc.2415'],[],Development of methods to detect occurrence and effects of endocrine-disrupting chemicals: A fundamental shift in regulatory ecotoxicology
191,['10.1002/etc.2591'],[],"An inexpensive, temporally-integrated system for monitoring occurrence and biological effects of aquatic contaminants in the field"
192,['10.3390/su6031386'],[],Integrated Metrics for Improving the Life Cycle Approach to Assessing Product System Sustainability
193,[],['No results'],Linking the SHEDS-Multimedia Exposure Model and a Pyrethroid Mixture PBPK Model: A Proof of Concept for Cumulative Assessment
194,[],['No results'],DockScreen: A database of in silico biomolecular interactions to support computational toxicology
195,[],['No results'],Evaluating Sustainable Material Management Scenarios for Rare Earth Element Phosphors in Current Television Technology
196,['10.1007/s11367-014-0726-1'],[],Life cycle assessment for emerging materials: case study of a garden bed constructed from lumber produced with three different copper treatments
197,['10.7589/2012-10-248'],[],Reproductive physiology in eastern snapping turtles Chelydra serpentina exposed to runoff from a concentrated animal feeding operation
198,['10.1016/j.aquatox.2013.09.004'],[],Molecular target sequence similarity as a basis for species extrapolation to assess the ecological risk of chemicals with known modes of action
199,['10.1021/es403933f'],[],Interspecies Correlation Estimation - Applications in Water Quality Criteria and Ecological Risk Assessment
200,['10.1021/ie3013264'],[],Synthesis of Sustainable Energy Supply Chain by the P-Graph Framework
201,['10.1016/j.ygcen.2014.03.022'],[],Integrated approach to explore the mechanisms of aromatase inhibition and recovery in fathead minnows Pimephales promelas
202,['10.1080/10937404.2014.884956'],[],Relationships of Chemical Concentrations in Maternal and Cord Blood: A Review of Available Data
203,[],['No results'],Development of Monopole Interaction Models for Ionic Compounds. Part I: Estimation of Aqueous Henry’s Law Constants for Ions and Gas Phase pKa Values for Acidic Compounds
204,['10.1093/toxsci/kft067'],[],Developing Predictive Approaches to Characterize Adaptive Responses of the Reproductive Endocrine Axis to Aromatase Inhibition II:  Computational Modeling
205,['10.1016/j.watres.2012.12.041'],[],"Transformation of Silver Nanoparticles in Fresh, Aged, and Incinerated Biosolids"
206,[],['No results'],Toxicological Sciences FORUM - FutureTox II: In vitro Data and In Silico Models forPredictive Toxicology
207,['10.1002/0471140856.tx0442s65'],[],Determination of metabolic stability using cryopreserved hepatocytes from rainbow trout Oncorhynchus mykiss
208,[],['No results'],Development and Practical Application of Oil and Dispersant Interspecies Correlation Models for Aquatic Species
209,['10.1186/1471-2148-14-7'],['Multiple results'],Targeted Approach to Identify Genetic Loci Associated with Evolved Dioxin Tolerance in Atlantic Killifish Fundulus heteroclitus
210,['10.2174/13852728113179990047'],[],Synthesis of unnatural amino acids via microwave-assisted regio-selective one-pot multi-component reactions of sulfamidates
211,"['10.1002/etc.2627', '10.1002/etc.2729']",['Multiple results'],"Integrated assessment of runoff from livestock farming operations: Analytical chemistry, in vitro bioassays, and in vivo fish exposures"
212,['10.1016/j.jhazmat.2014.04.058'],[],Transport and retention of zinc oxide nanoparticles in porous media: Effects of natural organic matter versus natural organic ligands at circumneutral pH
213,['10.1016/j.yrtph.2014.04.009'],[],Advancing the 3Rs in Regulatory Toxicology - Carcinogenicity Testing: Scope for Harmonisation and Advancing the 3Rs in Regulated Sectors of the European Union
214,[],['No results'],promoting Ecohealth Through Open Regulatory Software Platforms
215,['10.1021/es4040254'],[],"Using transcriptomic tools to evaluate biological effects across effluent gradients at a diverse set of study sites in Minnesota, USA"
216,['10.1016/j.envpol.2014.07.003'],[],Estimating terrestrial amphibian pesticide body burden through dermal exposure
217,['10.1002/etc.2330'],[],"Cross species sensitivity to a novel androgen receptor agonist of potential environmental concern, spironolactone"
218,['10.1021/ie302804x'],[],Sustainability Indicators for Chemical Processes: III. Biodiesel Case Study
219,[],['No results'],Comparative Cytotoxicity of Silver Nanomaterials in a Murine Macrophage Cell Line
