PMID,DOI,model,endocrine,download,Pub Yr,Title,LinkPMID,Tiab
20171276,10.1016/j.ntt.2010.02.002,3,0,0,2010,"Behavioral toxicology in the 21st century: challenges and opportunities for behavioral scientists. Summary of a symposium presented at the annual meeting of the neurobehavioral teratology society, June, 2009.",20171276,"Behavioral toxicology in the 21st century: challenges and opportunities for behavioral scientists. Summary of a symposium presented at the annual meeting of the neurobehavioral teratology society, June, 2009.   Abstract:  The National Research Council (NRC) of the National Academies of Science recently published a report of its vision of toxicity testing in the 21st century. The report proposes that the current toxicity testing paradigm that depends upon whole-animal tests be replaced with a strategy based upon in vitro tests, in silico models and evaluations of toxicity at the human population level. These goals are intended to set in motion changes that will transform risk assessment into a process in which adverse effects on public health are predicted by quantitative structure-activity relationship (QSAR) models and data from suites of high-throughput in vitro tests. The potential roles for whole-animal testing in this futuristic vision are both various and undefined. A symposium was convened at the annual meeting of the Neurobehavioral Teratology Society in Rio Grande, Puerto Rico in June, 2009 to discuss the potential challenges and opportunities for behavioral scientists in developing and/or altering this strategy toward the ultimate goal of protecting public health from hazardous chemicals. R. Kavlock described the NRC vision, introduced the concept of the 'toxicity pathway' (a central guiding principle of the NRC vision), and described the current status of an initial implementation this approach with the EPA's ToxCast(R) program. K. Crofton described a pathway based upon disruption of thyroid hormone metabolism during development, including agents, targets, and outcomes linked by this mode of action. P. Bushnell proposed a pathway linking the neural targets and cellular to behavioral effects of acute exposure to organic solvents, whose predictive power is limited by our incomplete understanding of the complex CNS circuitry that mediates the behavioral responses to solvents. B. Weiss cautioned the audience regarding a pathway approach to toxicity testing, using the example of the developmental toxicity of phthalates, whose effects on mammalian sexual differentiation would be difficult to identify based on screening tests in vitro. Finally, D. Rice raised concerns regarding the use of data derived from toxicity screening tests to human health risk assessments. Discussion centered around opportunities and challenges for behavioral toxicologists regarding this impending paradigm shift. Opportunities include: identifying and characterizing toxicity pathways; informing the conditions and limits of extrapolation; addressing issues of susceptibility and variability; providing reality-checks on selected positives and negatives from screens; and performing targeted testing and dose-response assessments of chemicals flagged during screening. Challenges include: predicting behavior using models of complex neurobiological pathways; standardizing study designs and dependent variables to facilitate creation of databases; and managing the cost and efficiency of behavioral assessments. Thus, while progress is being made in approaching the vision of 21st century toxicology, we remain a long way from replacing whole-animal tests; indeed, some animal testing will be essential for the foreseeable future at least. Initial advances will likely provide better prioritization tools so that animal resources are used more efficiently and effectively."
20359977,10.1289/ehp.118-a172a,1,0,0,2010,ToxCast on target: in vitro assays and computer modeling show promise for screening chemicals.,20359977,ToxCast on target: in vitro assays and computer modeling show promise for screening chemicals.   Abstract:  
20368123,10.1289/ehp.0901392,2,1,0,2010,In vitro screening of environmental chemicals for targeted testing prioritization: the ToxCast project.,20368123,"In vitro screening of environmental chemicals for targeted testing prioritization: the ToxCast project.   Abstract:  BACKGROUND: Chemical toxicity testing is being transformed by advances in biology and computer modeling, concerns over animal use, and the thousands of environmental chemicals lacking toxicity data. The U.S. Environmental Protection Agency's ToxCast program aims to address these concerns by screening and prioritizing chemicals for potential human toxicity using in vitro assays and in silico approaches. OBJECTIVE: This project aims to evaluate the use of in vitro assays for understanding the types of molecular and pathway perturbations caused by environmental chemicals and to build initial prioritization models of in vivo toxicity. METHODS: We tested 309 mostly pesticide active chemicals in 467 assays across nine technologies, including high-throughput cell-free assays and cell-based assays, in multiple human primary cells and cell lines plus rat primary hepatocytes. Both individual and composite scores for effects on genes and pathways were analyzed. RESULTS: Chemicals displayed a broad spectrum of activity at the molecular and pathway levels. We saw many expected interactions, including endocrine and xenobiotic metabolism enzyme activity. Chemicals ranged in promiscuity across pathways, from no activity to affecting dozens of pathways. We found a statistically significant inverse association between the number of pathways perturbed by a chemical at low in vitro concentrations and the lowest in vivo dose at which a chemical causes toxicity. We also found associations between a small set of in vitro assays and rodent liver lesion formation. CONCLUSIONS: This approach promises to provide meaningful data on the thousands of untested environmental chemicals and to guide targeted testing of environmental contaminants."
20544693,10.1002/bdrc.20176,1,1,0,2010,In honor of the Teratology Society's 50th anniversary: The role of Teratology Society members in the development and evolution of in vivo developmental toxicity test guidelines.,20544693,"In honor of the Teratology Society's 50th anniversary: The role of Teratology Society members in the development and evolution of in vivo developmental toxicity test guidelines.   Abstract:  Members of the Teratology Society (established in 1960) were involved in the first governmental developmental and reproductive toxicity testing guidelines (1966) by FDA following the thalidomide epidemic, followed by other national and international governmental testing guidelines. The Segment II (developmental toxicity) study design, described in rodents and rabbits, has evolved with additional enhanced endpoints and better descriptions, mechanistic insights, range-finding studies, and toxico/pharmacokinetic ADME information (especially for pharmaceuticals). Society members were also involved in the development of the current screening assays and tests for endocrine disruptors (beginning in 1996) and are now involved with developing new testing guidelines (e.g., the extended one-generation protocol), and evaluating the current test guidelines and new initiatives under ILSI/HESI sponsorship. New initiatives include ToxCast from the U.S. EPA to screen, prioritize, and predict toxic chemicals by high throughput and high-content in vitro assays, bioinformation, and modeling to reduce (or eliminate) in vivo whole animal studies. Our Society and its journal have played vital roles in the scientific and regulatory accomplishments in birth defects research over the past 50 years and will continue to do so in the future. Happy 50th anniversary!"
20558333,10.1289/ehp.1001930,2,0,0,2010,Evaluation of computational docking to identify pregnane X receptor agonists in the ToxCast database.,20558333,"Evaluation of computational docking to identify pregnane X receptor agonists in the ToxCast database.   Abstract:  BACKGROUND: The pregnane X receptor (PXR) is a key transcriptional regulator of many genes [e.g., cytochrome P450s (CYP2C9, CYP3A4, CYP2B6), MDR1] involved in xenobiotic metabolism and excretion. OBJECTIVE: As part of an evaluation of different approaches to predict compound affinity for nuclear hormone receptors, we used the molecular docking program GOLD and a hybrid scoring scheme based on similarity weighted GoldScores to predict potential PXR agonists in the ToxCast database of pesticides and other industrial chemicals. We present some of the limitations of different in vitro systems, as well as docking and ligand-based computational models. METHODS: Each ToxCast compound was docked into the five published crystallographic structures of human PXR (hPXR), and 15 compounds were selected based on their consensus docking scores for testing. In addition, we used a Bayesian model to classify the ToxCast compounds into PXR agonists and nonagonists. hPXR activation was determined by luciferase-based reporter assays in the HepG2 and DPX-2 human liver cell lines. RESULTS: We tested 11 compounds, of which 6 were strong agonists and 2 had weak agonist activity. Docking results of additional compounds were compared with data reported in the literature. The prediction sensitivity of PXR agonists in our sample ToxCast data set (n = 28) using docking and the GoldScore was higher than with the hybrid score at 66.7%. The prediction sensitivity for PXR agonists using GoldScore for the entire ToxCast data set (n = 308) compared with data from the NIH (National Institutes of Health) Chemical Genomics Center data was 73.8%. CONCLUSIONS: Docking and the GoldScore may be useful for prioritizing large data sets prior to in vitro testing with good sensitivity across the sample and entire ToxCast data set for hPXR agonists."
20574897,10.1080/10937404.2010.483935,8,1,0,2010,"Computational toxicology as implemented by the U.S. EPA: providing high throughput decision support tools for screening and assessing chemical exposure, hazard and risk.",20574897,"Computational toxicology as implemented by the U.S. EPA: providing high throughput decision support tools for screening and assessing chemical exposure, hazard and risk.   Abstract:  Computational toxicology is the application of mathematical and computer models to help assess chemical hazards and risks to human health and the environment. Supported by advances in informatics, high-throughput screening (HTS) technologies, and systems biology, the U.S. Environmental Protection Agency EPA is developing robust and flexible computational tools that can be applied to the thousands of chemicals in commerce, and contaminant mixtures found in air, water, and hazardous-waste sites. The Office of Research and Development (ORD) Computational Toxicology Research Program (CTRP) is composed of three main elements. The largest component is the National Center for Computational Toxicology (NCCT), which was established in 2005 to coordinate research on chemical screening and prioritization, informatics, and systems modeling. The second element consists of related activities in the National Health and Environmental Effects Research Laboratory (NHEERL) and the National Exposure Research Laboratory (NERL). The third and final component consists of academic centers working on various aspects of computational toxicology and funded by the U.S. EPA Science to Achieve Results (STAR) program. Together these elements form the key components in the implementation of both the initial strategy, A Framework for a Computational Toxicology Research Program (U.S. EPA, 2003), and the newly released The U.S. Environmental Protection Agency's Strategic Plan for Evaluating the Toxicity of Chemicals (U.S. EPA, 2009a). Key intramural projects of the CTRP include digitizing legacy toxicity testing information toxicity reference database (ToxRefDB), predicting toxicity (ToxCast) and exposure (ExpoCast), and creating virtual liver (v-Liver) and virtual embryo (v-Embryo) systems models. U.S. EPA-funded STAR centers are also providing bioinformatics, computational toxicology data and models, and developmental toxicity data and models. The models and underlying data are being made publicly available through the Aggregated Computational Toxicology Resource (ACToR), the Distributed Structure-Searchable Toxicity (DSSTox) Database Network, and other U.S. EPA websites. While initially focused on improving the hazard identification process, the CTRP is placing increasing emphasis on using high-throughput bioactivity profiling data in systems modeling to support quantitative risk assessments, and in developing complementary higher throughput exposure models. This integrated approach will enable analysis of life-stage susceptibility, and understanding of the exposures, pathways, and key events by which chemicals exert their toxicity in developing systems (e.g., endocrine-related pathways). The CTRP will be a critical component in next-generation risk assessments utilizing quantitative high-throughput data and providing a much higher capacity for assessing chemical toxicity than is currently available."
20574906,10.1080/10937404.2010.483949,4,0,0,2010,Xenobiotic-metabolizing enzyme and transporter gene expression in primary cultures of human hepatocytes modulated by ToxCast chemicals.,20574906,"Xenobiotic-metabolizing enzyme and transporter gene expression in primary cultures of human hepatocytes modulated by ToxCast chemicals.   Abstract:  Primary human hepatocyte cultures are useful in vitro model systems of human liver because when cultured under appropriate conditions the hepatocytes retain liver-like functionality such as metabolism, transport, and cell signaling. This model system was used to characterize the concentration- and time-response of the 320 ToxCast chemicals for changes in expression of genes regulated by nuclear receptors. Fourteen gene targets were monitored in quantitative nuclease protection assays: six representative cytochromes P-450, four hepatic transporters, three Phase II conjugating enzymes, and one endogenous metabolism gene involved in cholesterol synthesis. These gene targets are sentinels of five major signaling pathways: AhR, CAR, PXR, FXR, and PPARalpha. Besides gene expression, the relative potency and efficacy for these chemicals to modulate cellular health and enzymatic activity were assessed. Results demonstrated that the culture system was an effective model of chemical-induced responses by prototypical inducers such as phenobarbital and rifampicin. Gene expression results identified various ToxCast chemicals that were potent or efficacious inducers of one or more of the 14 genes, and by inference the 5 nuclear receptor signaling pathways. Significant relative risk associations with rodent in vivo chronic toxicity effects are reported for the five major receptor pathways. These gene expression data are being incorporated into the larger ToxCast predictive modeling effort."
20639261,10.1093/toxsci/kfq220,1,0,0,2010,Incorporating human dosimetry and exposure into high-throughput in vitro toxicity screening.,20639261,"Incorporating human dosimetry and exposure into high-throughput in vitro toxicity screening.   Abstract:  Many chemicals in commerce today have undergone limited or no safety testing. To reduce the number of untested chemicals and prioritize limited testing resources, several governmental programs are using high-throughput in vitro screens for assessing chemical effects across multiple cellular pathways. In this study, metabolic clearance and plasma protein binding were experimentally measured for 35 ToxCast phase I chemicals. The experimental data were used to parameterize a population-based in vitro-to-in vivo extrapolation model for estimating the human oral equivalent dose necessary to produce a steady-state in vivo concentration equivalent to in vitro AC(50) (concentration at 50% of maximum activity) and LEC (lowest effective concentration) values from the ToxCast data. For 23 of the 35 chemicals, the range of oral equivalent doses for up to 398 ToxCast assays was compared with chronic aggregate human oral exposure estimates in order to assess whether significant in vitro bioactivity occurred within the range of maximum expected human oral exposure. Only 2 of the 35 chemicals, triclosan and pyrithiobac-sodium, had overlapping oral equivalent doses and estimated human oral exposures. Ranking by the potencies of the AC(50) and LEC values, these two chemicals would not have been at the top of a prioritization list. Integrating both dosimetry and human exposure information with the high-throughput toxicity screening efforts provides a better basis for making informed decisions on chemical testing priorities and regulatory attention. Importantly, these tools are necessary to move beyond hazard rankings to estimates of possible in vivo responses based on in vitro screens."
20708096,10.1016/j.drudis.2010.07.007,1,0,0,2010,The future of toxicity testing: a focus on in vitro methods using a quantitative high-throughput screening platform.,20708096,"The future of toxicity testing: a focus on in vitro methods using a quantitative high-throughput screening platform.   Abstract:  The US Tox21 collaborative program represents a paradigm shift in toxicity testing of chemical compounds from traditional in vivo tests to less expensive and higher throughput in vitro methods to prioritize compounds for further study, identify mechanisms of action and ultimately develop predictive models for adverse health effects in humans. The NIH Chemical Genomics Center (NCGC) is an integral component of the Tox21 collaboration owing to its quantitative high-throughput screening (qHTS) paradigm, in which titration-based screening is used to profile hundreds of thousands of compounds per week. Here, we describe the Tox21 collaboration, qHTS-based compound testing and the various Tox21 screening assays that have been validated and tested at the NCGC to date."
20826373,10.1289/ehp.1002180,0,7,0,2010,Endocrine profiling and prioritization of environmental chemicals using ToxCast data.,20826373,"Endocrine profiling and prioritization of environmental chemicals using ToxCast data.   Abstract:  BACKGROUND: The prioritization of chemicals for toxicity testing is a primary goal of the U.S. Environmental Protection Agency (EPA) ToxCast» program. Phase I of ToxCast used a battery of 467 in vitro, high-throughput screening assays to assess 309 environmental chemicals. One important mode of action leading to toxicity is endocrine disruption, and the U.S. EPA's Endocrine Disruptor Screening Program (EDSP) has been charged with screening pesticide chemicals and environmental contaminants for their potential to affect the endocrine systems of humans and wildlife. OBJECTIVE: The goal of this study was to develop a flexible method to facilitate the rational prioritization of chemicals for further evaluation and demonstrate its application as a candidate decision-support tool for EDSP. METHODS: Focusing on estrogen, androgen, and thyroid pathways, we defined putative endocrine profiles and derived a relative rank or score for the entire ToxCast library of 309 unique chemicals. Effects on other nuclear receptors and xenobiotic metabolizing enzymes were also considered, as were pertinent chemical descriptors and pathways relevant to endocrine-mediated signaling. RESULTS: Combining multiple data sources into an overall, weight-of-evidence Toxicological Priority Index (ToxPi) score for prioritizing further chemical testing resulted in more robust conclusions than any single data source taken alone. CONCLUSIONS: Incorporating data from in vitro assays, chemical descriptors, and biological pathways in this prioritization schema provided a flexible, comprehensive visualization and ranking of each chemical's potential endocrine activity. Importantly, ToxPi profiles provide a transparent visualization of the relative contribution of all information sources to an overall priority ranking. The method developed here is readily adaptable to diverse chemical prioritization tasks."
21069615,10.1080/10590501.2010.525781,0,0,0,2010,Exploring in vitro/in vivo correlation: lessons learned from analyzing phase I results of the US EPA's ToxCast Project.,21069615,"Exploring in vitro/in vivo correlation: lessons learned from analyzing phase I results of the US EPA's ToxCast Project.   Abstract:  The research on alternative toxicological methods provides, among other things, a privileged viewpoint on one of the central issues of modern biomedical research--the relationship between (a) biological phenomena observed at the level of tissues and organisms and (b) their cellular and molecular bases as studied in isolated systems in vitro. The newly released ToxCast Phase 1 results, subject to initial analysis, converge with evidence from other fields (e.g., research on drug design with intensive use of omics technologies, traditional research on alternative tests) in indicating a low degree of the in vitro/in vivo correlation overall. In addition, this and other approaches point to the need for combining biological and chemical information in exploring the in vitro to in vivo connection."
