,abstract,doi,first_seen,journal,n_tweets,pmid,published,title
10,"Different government agencies operating in the European Union regulate different types of chemical products but all require testing for carcinogenicity to support applications for product marketing and commercialisation. A conference was held in Brussels in 2013 where representatives of the pharmaceutical, animal health, chemical and plant protection industries, together with representatives of regulatory agencies, universities and other stakeholders, met under the auspices of The European Partnership for Alternative Approaches to Animal Testing (EPAA) to discuss the varying requirements for carcinogenicity testing, and how these studies might be refined to improve hazard evaluation and risk assessment while implementing principles of the 3Rs (replacement, refinement and reduction in animal studies). While there are some similarities, the regulatory approaches in pharmaceutical, animal health, chemical and plant protection sectors have varying degrees of flexibility in requirements for carcinogenicity testing, to an extent reflecting concerns over the magnitude and duration of human exposure, either directly as in therapeutic exposure to pharmaceuticals, or indirectly through the ingestion of residues of veterinary drugs or plant protection chemicals. The article discusses these differences and other considerations for modified carcinogenicity testing paradigms on the basis of scientific and 3Rs approaches.",10.1016/j.yrtph.2014.04.009,2014-06-08T21:35:51+00:00,Regulatory Toxicology & Pharmacology: RTP,1,24768934,,Advancing the 3Rs in regulatory toxicology – Carcinogenicity testing: Scope for harmonisation and advancing the 3Rs in regulated sectors of the European Union 
11,,10.1093/toxsci/kfu320,2015-04-17T02:31:35+00:00,Toxicological Sciences,2,25564424,2015-01-05T00:00:00+00:00,Temporal Changes in Biological Responses and Uncertainty in Assessing Risks of Endocrine-Disrupting Chemicals: Insights from Intensive Time-Course Studies with Fish
12,,10.1002/ieam.1540,2016-02-14T10:18:57+00:00,Integrated Environmental Assessment & Management,0,24966104,2014-07-14T23:00:00+00:00,On the likelihood of single-walled carbon nanotubes causing adverse marine ecological effects.
13,"As the use of single-walled carbon nanotubes (SWNTs) increases over time, so does the potential for environmental release. This research aimed to determine the toxicity, bioavailability, and bioaccumulation of SWNTs in marine benthic organisms at the base of the food chain. The toxicity of SWNTs was tested in a whole sediment exposure with the amphipod Ampelisca abdita and the mysid Americamysis bahia. In addition, SWNTs were amended to sediment and/or food matrices to determine their bioavailability and bioaccumulation through these routes in A. abdita, A. bahia, and the estuarine amphipod Leptocheirus plumulosus. No significant mortality to any species via sediment or food matrices was observed at concentrations up to 100 ppm. A novel near-infrared fluorescence spectroscopic method was utilized to measure and characterize the body burdens of pristine SWNTs in nondepurated and depurated organisms. We did not detect SWNTs in depurated organisms but quantified them in nondepurated A. abdita fed SWNT-amended algae. After a 28-d exposure to [(14) C]SWNT-amended sediment (100 µg/g) and algae (100 µg/g), [(14) C]SWNT was detected in depurated and nondepurated L. plumulosus amphipods at 0.50 µg/g and 5.38 µg/g, respectively. The results indicate that SWNTs are bioaccessible to marine benthic organisms but do not appear to accumulate or cause toxicity.",10.1002/etc.2174,2013-02-12T18:06:32+00:00,Environmental Toxicology & Chemistry,1,23404747,2013-01-01T00:00:00+00:00,Bioaccumulation and toxicity of single walled carbon nanotubles (SWNT) to benthic organisms at the base of the marine food chain
14,"Conspectus One of the biggest challenges for humanity in the 21st century is easy access to purified and potable water. The presence of pathogens and toxins in water causes more than two million deaths annually, mostly among children under the age of five. Identifying and deploying effective and sustainable water treatment technologies is critical to meet the urgent need for clean water globally. Among the various agents used in the purification and treatment of water, iron-based materials have garnered particular attention in view of their special attributes such as their earth-abundant and environmentally friendly nature. In recent years, higher-valent tetraoxy iron(VI) (Fe(VI)O4(2-), Fe(VI)), commonly termed, ferrate, is being explored for a broad portfolio of applications, including a greener oxidant in synthetic organic transformations, a water oxidation catalyst, and an efficient agent for abatement of pollutants in water. The use of Fe(VI) as an oxidant/disinfectant and further utilization of the ensuing iron(III) oxides/hydroxide as coagulants are other additional attributes of ferrate for water treatment. This multimodal action and environmentally benign character of Fe(VI) are key advantages over other commonly used oxidants (e.g., chlorine, chlorine dioxide, permanganate, hydrogen peroxide, and ozone). This Account discusses current state-of-the-art applications of Fe(VI) and the associated unique chemistry of these high-valence states of iron. The main focus centers around the description and salient properties of ferrate species involving various electron transfer and oxygen-atom transfer pathways in terms of presently accepted mechanisms. The mechanisms derive the number of electron equivalents per Fe(VI) (i.e., oxidation capacity) in treating various contaminants. The role of pH in the kinetics of the reactions and in determining the removal efficiency of pollutants is highlighted; the rates of competing reactions of Fe(VI) with itself, water, and the contaminants, which are highly pH dependent, determine the optimum pH range of maximum efficacy. The main emphasis of this account is placed on cases where various modes of ferrate action are utilized, including the treatment of nitrogen- and sulfur-containing waste products, antibiotics, viruses, bacteria, arsenic, and heavy metals. For example, the oxidative degradation of N- and S-bearing contaminants by Fe(VI) yields either Fe(II) or Fe(III) via the intermediacy of Fe(IV) and Fe(V) species, respectively (e.g., Fe(VI) → Fe(IV) → Fe(II) and Fe(VI) → Fe(V) → Fe(III)). Oxidative transformations of antibiotics such as trimethoprim by Fe(VI) generate products with no residual antibiotic activity. Disinfection and inactivation of bacteria and viruses can easily be achieved by Fe(VI). Advanced applications involve the use of ferrate for the degradation of cyanobacteria and microcystin originating from algal blooms and for covalently embedding arsenic and heavy metals into the structure of formed magnetic iron(III) oxides, therefore preventing their leaching. Applications of state-of-the-art analytical techniques, namely, in situ Mössbauer spectroscopy, rapid-freeze electron paramagnetic resonance, nuclear forward scattering of synchrotron radiation, and mass spectrometry will enhance the mechanistic understanding of ferrate species. This will make it possible to unlock the true potential of ferrates for degrading emerging toxins and pollutants, and in the sustainable production and use of nanomaterials in an energy-conserving environment.",10.1021/ar5004219,2015-02-12T21:34:07+00:00,Accounts of Chemical Research,1,25668700,2015-02-10T00:00:00+00:00,Ferrates: Greener Oxidants with Multimodal Action in Water Treatment Technologies.
15,,10.1093/toxsci/kft228,2016-04-14T10:43:16+00:00,Toxicological Sciences,0,24154487,2013-10-22T23:00:00+00:00,Cumulative Risk: Toxicity and Interactions of Physical and Chemical Stressors
16,,10.1002/eco.1618,2015-02-06T10:21:35+00:00,Ecohydrology,5,,2015-02-01T00:00:00+00:00,"Spatial distributions of small water body types in modified landscapes: lessons from Indiana, USA"
17,"Polybrominated diphenyl ether BDE-47 (2,2',4,4'-tetrabromodiphenyl ether) is a thyroid hormone disruptor in mice; hepatic induction of various metabolic enzymes and transporters has been suggested as the mechanism for this disruption. Utilizing Car (-/-) and Pxr (-/-) mice as well as human primary hepatocytes, here we have demonstrated that BDE-47 activated both mouse and human nuclear receptor constitutive activated/androstane receptor (CAR). In mouse livers, CAR, not PXR, was responsible for Cyp2b10 mRNA induction by BDE-47. In human primary hepatocytes, BDE-47 was able to induce translocation of YFP-tagged human CAR from the cytoplasm to the nucleus andCYP2B6 and CYP3A4 mRNAs expressions. BDE-47 activated human CAR in a manner akin to the human CAR ligand CITCO (6-(4-Chlorophenyl)imidazo[2,1-b][1,3]thiazole-5-carbaldehyde-O-(3,4-dichlorobenzyl)oxime) in luciferase-reporter assays using Huh-7 cells. In contrast, mouse CAR was not potently activated by BDE-47 in the same reporter assays. Furthermore, human pregnane X receptor (PXR) was effectively activated by BDE-47 while mouse PXR was weakly activated in luciferase-reporter assays. Our results indicate that BDE-47 induces CYP genes through activation of human CAR in addition to the previously identified pathway through human PXR.",10.1093/toxsci/kft243,2013-11-13T15:05:30+00:00,Toxicological Sciences,2,24218150,2013-11-11T00:00:00+00:00,Flame retardant BDE-47 effectively activates nuclear receptor CAR in human primary hepatocytes.
18,"Polychlorinated diphenyl sulfides (PCDPSs) are a group of environmental pollutants for which limited toxicological information is available. This study tested the hypothesis that PCDPSs could activate the mammalian aryl hydrocarbon receptor (AhR) mediated toxicity pathways. Eighteen PCDPSs were tested in the H4IIE-luc transactivation assay, with 13/18 causing concentration-dependent AhR activation. Potencies of several congeners were similar to those of mono-ortho substituted polychlorinated biphenyls. A RNA sequencing (RNA-seq)-based transcriptomic analysis was performed on H4IIE cells treated with two PCDPS congeners, 2,2',3,3',4,5,6-hepta-CDPS, and 2,4,4',5-tetra-CDPS. Results of RNA-seq revealed a remarkable modulation on a relatively short gene list by exposure to the tested concentrations of PCDPSs, among which, Cyp1 responded with the greatest fold up-regulation. Both the identities of the modulated transcripts and the associated pathways were consistent with targets and pathways known to be modulated by other types of AhR agonists and there was little evidence for significant off-target effects within the cellular context of the H4IIE bioassay. The results suggest AhR activation as a toxicologically relevant mode of action for PCDPSs suggests the utility of AhR-related toxicity pathways for predicting potential hazards associated with PCDPS exposure in mammals and potentially other vertebrates.",10.1016/j.chemosphere.2015.09.107,2015-11-03T11:29:25+00:00,Chemosphere,1,26524144,2015-11-03T22:00:19+00:00,Activation of AhR-mediated toxicity pathway by emerging pollutants polychlorinated diphenyl sulfides.
19,"Chemical regulation is challenged by the large number of chemicals requiring assessment for potential human health and environmental impacts. Current approaches are too resource intensive in terms of time, money and animal use to evaluate all chemicals under development or already on the market. The need for timely and robust decision making demands that regulatory toxicity testing becomes more cost-effective and efficient. One way to realize this goal is by being more strategic in directing testing resources; focusing on chemicals of highest concern, limiting testing to the most probable hazards, or targeting the most vulnerable species. Hypothesis driven Integrated Approaches to Testing and Assessment (IATA) have been proposed as practical solutions to such strategic testing. In parallel, the development of the Adverse Outcome Pathway (AOP) framework, which provides information on the causal links between a molecular initiating event (MIE), intermediate key events (KEs) and an adverse outcome (AO) of regulatory concern, offers the biological context to facilitate development of IATA for regulatory decision making. This manuscript summarizes discussions at the Workshop entitled ""Advancing AOPs for Integrated Toxicology and Regulatory Applications"" with particular focus on the role AOPs play in informing the development of IATA for different regulatory purposes.",10.1016/j.yrtph.2014.09.009,2014-09-30T10:43:39+00:00,Regulatory Toxicology & Pharmacology: RTP,2,25261300,,Applying Adverse Outcome Pathways (AOPs) to support Integrated Approaches to Testing and Assessment (IATA) 
20,"To determine effects of multiple applications of herbicides on small constructed plant communities, Prunella vulgaris L.var. lanceolata Fern, Festuca roemeri (Pavlick) Alexeev, Clarkia amoena (Lehm.) Nels. and Cynosurus echinatus L. were grown together in small field plots. Plants were treated with glyphosate at target concentrations of 0, 0.01, 0.1, and 0.2 x a field application rate (FAR) of 1122 g ha(-1) active ingredient (a.i.) for 3 years in 1 location, and for 2 years in a second location; and with aminopyralid at 0, 0.037, 0.136, and 0.5 x FAR of 123 g ha(-1) a.i. for 2 years in 2 locations. Plants received 1, 2 or 3 applications of each herbicide each year. Species and community responses depended on herbicide concentration and number of applications. With glyphosate, plant volume (modified formula for a cone) tended to decrease for all species (especially C. echinatus), and the decreases generally became larger with more applications. Plant communities exposed to the 2 greatest concentrations initially differed from controls, but then appeared to recover. With aminopyralid, C. amoena was essentially eliminated from the communities, especially at the 2 greatest FARs; while the other 3 species tended to have significant increases in volume, especially at the 2 smallest FARs. With aminopyralid, increasing numbers of applications produced variable results, and the plant community volume never tended to recover. Environ Toxicol Chem © 2014 SETAC.",10.1002/etc.2686,2014-08-29T20:24:14+00:00,Environmental Toxicology & Chemistry,1,25043825,,Effects of single and multiple applications of glyphosate or aminopyralid on simple constructed plant communities
21,"Early-life stage fish can be more sensitive to toxicants than adults, so delineating mechanisms of perturbation of biological pathways by chemicals during this life stage is crucial. Whole-mount in situ hybridization (WISH) paired with quantitative real-time polymerase chain reaction (QPCR) assays can enhance pathway-based analyses through determination of specific tissues where changes in gene expression are occurring. While WISH has frequently been used in zebrafish (Danio rerio), this technology has not previously been applied to fathead minnows (Pimephales promelas), another well-established small fish model species. The objective of the present study was to adapt WISH to fathead minnow embryos and larvae, and use the approach to evaluate the effects of estrone, an environmentally-relevant estrogen receptor (ER) agonist. Embryos were exposed via the water to 0, 18 or 1800ngestrone/L (0, 0.067 and 6.7nM) for 3 or 6 days in a solvent-free, flow-through test system. Relative transcript abundance of three estrogen-responsive genes, estrogen receptor-α (esr1), cytochrome P450-aromatase B (cyp19b), and vitellogenin (vtg) was examined in pooled whole embryos using QPCR, and the spatial distribution of up-regulated gene transcripts was examined in individual fish using WISH. After 3 days of exposure to 1800ngestrone/L, esr1 and cyp19b were significantly up-regulated, while vtg mRNA expression was not affected. After 6 days of exposure to 1800ngestrone/L, transcripts for all three genes were significantly up-regulated. Corresponding WISH assays revealed spatial distribution of esr1 and vtg in the liver region, an observation consistent with activation of the hepatic ER. This study clearly demonstrates the potential utility of WISH, in conjunction with QPCR, to examine the mechanistic basis of the effects of toxicants on early-life stage fathead minnows.",10.1016/j.aquatox.2015.10.002,2015-10-21T10:49:58+00:00,Aquatic Toxicology,2,26485527,2015-10-21T22:00:10+00:00,Evaluation of whole-mount in situ hybridization as a tool for pathway-based toxicological research with early-life stage fathead minnows.
22,,10.1088/1752-7155/10/1/010201,2016-03-09T08:25:02+00:00,Journal of Breath Research,3,26954510,2016-03-08T00:00:00+00:00,"
              Cellular respiration: replicating
              in vivo
              systems biology for
              in vitro
              exploration of human exposome, microbiome, and disease pathogenesis biomarkers
            "
23,"Abstract The broad topic of biomarker research has an often-overlooked component: the documentation and interpretation of the surrounding chemical environment and other meta-data, especially from visualization, analytical and statistical perspectives. A second concern is how the environment interacts with human systems biology, what the variability is in ""normal"" subjects, and how such biological observations might be reconstructed to infer external stressors. In this article, we report on recent research presentations from a symposium at the 248th American Chemical Society meeting held in San Francisco, 10-14 August 2014, that focused on providing some insight into these important issues.",10.3109/1354750x.2014.985254,2014-12-19T09:51:33+00:00,Biomarkers,1,25444302,2014-12-04T00:00:00+00:00,Editorial: New analytical and statistical approaches for interpreting the relationships among environmental stressors and biomarkers
24,,10.1093/annhyg/met008,2016-02-11T22:59:42+00:00,Annals of Occupational Hygiene,0,,2013-03-12T00:00:00+00:00,The Future of Exposure Assessment: Perspectives From the X2012 Conference
25,"Thousands of environmental chemicals are subject to regulatory review for their potential to be endocrine disruptors (ED). In vitro high-throughput screening (HTS) assays have emerged as a potential tool for prioritizing chemicals for ED-related whole-animal tests. In this study, 1814 chemicals including pesticide active and inert ingredients, industrial chemicals, food additives, and pharmaceuticals were evaluated in a panel of 13 in vitro HTS assays. The panel of in vitro assays interrogated multiple end points related to estrogen receptor (ER) signaling, namely binding, agonist, antagonist, and cell growth responses. The results from the in vitro assays were used to create an ER Interaction Score. For 36 reference chemicals, an ER Interaction Score >0 showed 100% sensitivity and 87.5% specificity for classifying potential ER activity. The magnitude of the ER Interaction Score was significantly related to the potency classification of the reference chemicals (p < 0.0001). ERα/ERβ selectivity was also evaluated, but relatively few chemicals showed significant selectivity for a specific isoform. When applied to a broader set of chemicals with in vivo uterotrophic data, the ER Interaction Scores showed 91% sensitivity and 65% specificity. Overall, this study provides a novel method for combining in vitro concentration response data from multiple assays and, when applied to a large set of ER data, accurately predicted estrogenic responses and demonstrated its utility for chemical prioritization.",10.1021/es502676e,2014-07-11T19:41:51+00:00,Environmental Science & Technology,5,24960280,2014-06-26T00:00:00+00:00,Predictive Endocrine Testing in the 21st Century Using In Vitro Assays of Estrogen Receptor Signaling Responses.
26,"As in vitro assays are increasingly used to screen chemicals for their potential to produce endocrine disrupting adverse effects, it is important to understand their predictive capacity. The potential for a set of six benzothiazoles to affect endpoints related to thyroid hormone synthesis inhibition were assessed using in vitro, ex vivo, and in vivo assays. Inhibition of thyroid peroxidase (TPO) derived from pig thyroid glands was determined for benzothiazole (BTZ), 2-mercaptobenzothiazole (MBT), 5-chloro-2-mercaptobenzothiazole (CMBT), 2-aminobenzothiazole (ABT), 2-hydroxybenzothiazole (HBT), and 2-methylthiobenzothiazole (MTBT). Their rank order potency for TPO inhibition was MBT=CMBT>ABT>BTZ, whereas HBT and MTBT exhibited no inhibitory activity. The benzothiazoles were tested further in a Xenopus laevis thyroid gland explant culture assay in which inhibition of thyroxine (T4) release was the measured endpoint. In this assay all six benzothiazoles inhibited T4 release. The activity of the benzothiazoles for disrupting thyroid hormone activity was verified in vivo using X. laevis tadpoles in a 7-day assay. The two most potent chemicals for TPO inhibition, MBT and CMBT, produced responses in vivo indicative of T4 synthesis inhibition including induction of sodium iodide symporter mRNA and decreases in glandular and circulating thyroid hormones. The capability to measure thyroid hormone levels in the glands and blood by ultrahigh performance LC-MS/MS methods optimized for small tissue samples was critical for effects interpretation. These results indicate that inhibition of TPO activity in vitro was a good indicator of a chemical's potential for thyroid hormone disruption in vivo and may be useful for prioritizing chemicals for further investigation.",10.1093/toxsci/kfv090,2015-08-03T16:06:21+00:00,Toxicological Sciences,1,25953703,2015-08-01T00:00:00+00:00,"In Vitro, Ex Vivo, and In Vivo Determination of Thyroid Hormone Modulating Activity of Benzothiazoles"
27,"United States Environmental Protection Agency (USEPA) researchers are developing a strategy for high-throughput (HT) exposure-based prioritization of chemicals under the ExpoCast program. These novel modeling approaches for evaluating chemicals based on their potential for biologically-relevant human exposures will inform toxicity testing and prioritization for chemical risk assessment. Based on probabilistic methods and algorithms developed for The Stochastic Human Exposure and Dose Simulation Model for Multimedia, Multipathway Chemicals (SHEDS-MM), a new mechanistic modeling approach has been developed to accommodate high-throughput (HT) assessment of exposure potential. In this SHEDS-HT model, the residential and dietary modules of SHEDS-MM have been operationally modified to reduce the user burden, input data demands, and run times of the higher-tier model, while maintaining critical features and inputs that influence exposure. The model has been implemented in R; the modeling framework links chemicals to consumer product categories or food groups (and thus exposure scenarios) to predict HT exposures and intake doses. Initially, SHEDS-HT has been applied to 2507 organic chemicals associated with consumer products and agricultural pesticides. These evaluations employ data from recent USEPA efforts to characterize usage (prevalence, frequency, and magnitude), chemical composition, and exposure scenarios for a wide range of consumer products. In modeling indirect exposures from near-field sources, SHEDS-HT employs a fugacity-based module to estimate concentrations in indoor environmental media. The concentration estimates, along with relevant exposure factors and human activity data, are then used by the model to rapidly generate probabilistic population distributions of near-field indirect exposures via dermal, non-dietary ingestion, and inhalation pathways. Pathway-specific estimates of near-field direct exposures from consumer products are also modeled. Population dietary exposures for a variety of chemicals found in foods are combined with the corresponding chemical-specific near-field exposure predictions to produce aggregate population exposure estimates. The estimated intake dose rates (mg/kg/day) for the 2507 chemical case-study spanned 13 orders of magnitude. SHEDS-HT successfully reproduced the pathway-specific exposure results of the higher-tier SHEDS-MM for a case-study pesticide, and produced median intake doses significantly correlated (p<0.0001, R2=0.39) with medians inferred using biomonitoring data for 39 chemicals from the National Health and Nutrition Examination Survey (NHANES). Based on the favorable performance of SHEDS-HT with respect to these initial evaluations, we believe this new tool will be useful for HT prediction of chemical exposure potential.",10.1021/es502513w,2014-09-26T13:34:43+00:00,Environmental Science & Technology,4,25222184,2014-09-17T00:00:00+00:00,SHEDS-HT: An Integrated Probabilistic Exposure Model for Prioritizing Exposures to Chemicals with Near-Field and Dietary Sources.
28,,10.1016/j.coche.2013.09.004,2013-11-02T05:31:16+00:00,Current Opinion in Chemical Engineering,1,,2014-02-01T00:00:00+00:00,Silver-based antibacterial surfaces for drinking water disinfection—an overview
29,"In order to provide sufficient food and fibre to the increasing global population the technologies associated with crop protection are growing ever more sophisticated but, at the same time, societal expectations for the safe use of crop protection chemistry tools, are also increasing. The goal of this perspective is to highlight the key issues that face future leaders in crop protection, based on presentations made during a symposium, entitled ""Developing Global Leaders for Research, Regulation and Stewardship of Crop Protection Chemistry in the 21st Century"", held in conjunction with the IUPAC 13th International Congress of Pesticide Chemistry in San Francisco, CA during August 2014. The presentations highlighted the fact that leaders in crop protection must have a good basic scientific training, understand new and evolving technologies, are aware of the needs of both developed and developing countries and have good communication skills. Concern is expressed over the apparent lack of resources to meet these needs and ideas are put forward to remedy these deficiencies.",10.1021/jf5060744,2015-04-09T19:10:53+00:00,Journal of Agricultural & Food Chemistry,1,25855233,2015-04-10T22:01:30+00:00,"Developing Global Leaders for Research, Regulation, and Stewardship of Crop Protection Chemistry in the 21st Century"
30,"In the present study, a hypothesized adverse outcome pathway linking inhibition of thyroid peroxidase (TPO) activity to impaired swim bladder inflation was investigated in two experiments in which fathead minnows (Pimephales promelas) were exposed to 2-mercaptobenzothiazole (MBT). Continuous exposure to 1mg MBT/L for up to 22 days had no effect on inflation of the posterior chamber of the swim bladder, which typically inflates around 6 days post fertilization (dpf), a period during which maternally-derived thyroid hormone is presumed to be present. In contrast, inflation of the anterior swim bladder, which occurs around 14dpf, was impacted. Specifically, at 14dpf, approximately 50% of fish exposed to 1mg MBT/L did not have an inflated anterior swim bladder. In fish exposed to MBT through 21 or 22dpf, the anterior swim bladder was able to inflate, but the ratio of the anterior/posterior chamber length was significantly reduced compared to controls. Both abundance of thyroid peroxidase mRNA and thyroid follicle histology suggest that fathead minnows mounted a compensatory response to the presumed inhibition of TPO activity by MBT. Time-course characterization showed that fish exposed to MBT for at least 4 days prior to normal anterior swim bladder inflation had significant reductions in anterior swim bladder size, relative to the posterior chamber, compared to controls. These results, along with similar results observed in zebrafish (see part II, this issue) are consistent with the hypothesis that thyroid hormone signaling plays a significant role in mediating anterior swim bladder inflation and development in cyprinids, and that role can be disrupted by exposure to thyroid hormone synthesis inhibitors. Nonetheless, possible thyroid-independent actions of MBT on anterior swim bladder inflation cannot be ruled out based on the present results. Overall, although anterior swim bladder inflation has not been directly linked to survival as posterior swim bladder inflation has, potential links to adverse ecological outcomes are plausible given involvement of the anterior chamber in sound production and detection.",10.1016/j.aquatox.2015.12.024,2016-01-08T17:08:58+00:00,Aquatic Toxicology,2,26852267,2016-02-08T22:00:10+00:00,Impaired Anterior Swim Bladder Inflation Following Exposure to the Thyroid Peroxidase Inhibitor 2-Mercaptobenzothiazole Part I: Fathead Minnow 
